title,category,description
The Facilitator Era,Drama,Some time ago Ralph Winter brilliantly identified three eras of modern missions: Era 1: William Carey focused on the coastlands; Era 2: Hudson Taylor focused on the inlands; Era 3: Donald McGavran and Cameron Townsend focused on unreached peoples. With all the fast and furious changes swirling around us today in twenty-first century missions have we entered a Fourth Era? If so who are the people primarily involved? How are they selected? How are they trained? How long do they serve? Has the Third Era ministry focus--reaching the unreached--changed? If so to what? Are there any successful case studies out there? Have McGavran and Townsend passed the baton to a new leader(s)? If so to whom? This book seeks to answer these and related questions. Contributors: Dr. Ben Beckner Dr. Monroe Brewer Dr. Don Finley Mike Griffis Dr. Gary Hipp MD Jerry Hogshead Kaikou Maisu Judy Manna Kenn Oke Dr. A. Sue Russell Dr. Robert Strauss Peter Swann Bryan Thomas Diane Thomas Dr. Mike Wilson Dr. Sherwood G. Lingenfelter
Theatre News,Drama,Issue for Feb. 1969 includes Afro-Asian theatre bulletin v. 4:2 spring 1969.
Graduate Bulletin,Drama,The Graduate School ... offers over 240 graduate degrees including the Master of Arts Master of Sciences and Doctor of Philosophy.
Teaching Language Arts in Middle Schools,Drama,Primary text for middle school language arts methods courses. Presents balanced attention to various teaching strategies processes and content demonstrating how all of these connect to improve students abilities to communicate.
Playing for Real,Drama,Designed to integrate the outcomes-based curriculum this is a collection of short modern plays aimed at Junior Secondary students. It offers a range of multi- and cross-cultural dramas mostly African in origin for both English and Drama teachers and students.
The Magazine Subject-index,Drama,Contains the cumulation of the subject index issued in the quarterly numbers of the Bulletin of bibliography and magazine subject-index.
Mythology as Metaphor,Drama,An exploration within the German literary and cultural tradition of Wagner's Ring and the treatise Oper und Drama.
British Modernist Fiction 1920 to 1945,Drama,Collects essays on the fiction of the principal British novelists from the period between the two world wars with discussions on such authors as James Joyce D. H. Lawrence Virginia Woolf Wyndham Lewis and Evelyn Waugh. Bibliog.
Social Networks: A Framework of Computational Intelligence,Drama,This volume provides the audience with an updated in-depth and highly coherent material on the conceptually appealing and practically sound information technology of Computational Intelligence applied to the analysis synthesis and evaluation of social networks. The volume involves studies devoted to key issues of social networks including community structure detection in networks online social networks knowledge growth and evaluation and diversity of collaboration mechanisms. The book engages a wealth of methods of Computational Intelligence along with well-known techniques of linear programming Formal Concept Analysis machine learning and agent modeling. Human-centricity is of paramount relevance and this facet manifests in many ways including personalized semantics trust metric and personal knowledge management; just to highlight a few of these aspects. The contributors to this volume report on various essential applications including cyber attacks detection building enterprise social networks business intelligence and forming collaboration schemes. Given the subject area this book is aimed at a broad audience of researchers and practitioners. Owing to the nature of the material being covered and a way it is organized the volume will appeal to the well-established communities including those active in various disciplines in which social networks their analysis and optimization are of genuine relevance. Those involved in operations research management various branches of engineering and economics will benefit from the exposure to the subject matter.
The World Almanac and Book of Facts 1997,Drama,A reference tool for researching facts and events that occured in the year 1997.
MLN.,Drama,Provides image and full-text online access to back issues. Consult the online table of contents for specific holdings.
The World Almanac and Book of Facts 2004,Drama,B & T Local 12-13-2003 $15.95.
The American Historical Review,Drama,American Historical Review is the oldest scholarly journal of history in the United States and the largest in the world. Published by the American Historical Association it covers all areas of historical research.
Three Socialist Plays,Drama,Robert Shaughnessy considers the major issues in the theory and practice of socialist drama using as his point of departure the performance-centred close analysis of three plays: Edward Bond's Lear Arnold Wesker's Roots and John Arden's Sergeant Musgrave's Dance. Through the comparison and juxtaposition of these plays this guide introduces key concerns and debates: the politics of theatre criticism the relation between text and performance illusionism versus Epic Theatre. The basis for the discussion throughout is the performance potential of the three plays; a mode of active reading geared towards a socialist theatre practice. Overall this guide aims to enable students to engage not only with the individual texts but with the broader possibilities of socialist theatre.
The Rienner Anthology of African Literature,Drama,?This excellent anthology is to be welcomed both for the excellence of its material and for the fact that it will fill a growing need. I congratulate Anthonia Kalu and all whose work is in the volume for their contributions.? ?Dennis Brutus. University of Pittsburgh and University of KwaZulu-Natal?Dr. Kalu has assembled the best of the oral and written traditions of African literature into an anthology comprehensive in scope.... The Rienner Anthology is great news for African literature and a boon to literature lovers.? ?Tanure Ojaide University of North Carolina at Charlotte?Hongera to Professor Kalu and the publisher for accomplishing the important task of making African literature more accessible to more people.... This very good and wide-ranging collection brings together a valuable sampling of classic African works. It occupies a uniquely definitive position in the field.??Simon Lewis College of CharlestonRanging from ancient cultures to the present century from Africa?s rich oral traditions to its contemporary fiction poetry and drama this long-awaited comprehensive anthology reflects the enduring themes of African literature.The selections drawn from the length and breadth of the continent reveal the richness of African creativity. Readers will find myths and epics works by such well-known figures as Chinua Achebe Miriama Ba Bessie Head Tayeb Salih Wole Soyinka and Ngugi wa Thiong?o and fiction and poetry by myriad new writers. The pieces are organized chronologically within geographic region and enhanced by both introductory material and biographical notes on each writer. An author/title index and suggestions for further reading are also included.Anthonia C. Kalu is professor of black studies at the University of Northern Colorado. Her numerous publications on African literature include Women Literature and Development in Africa and she is also author of a collection of short stories (Broken Lives and Other Stories) and a novel in progress.
Literary Heritage of the Tamils,Drama,Contributed papers presented at a seminar organized by the International Institute of Tamil Studies Madras in 1978.
Between Fontane and Tucholsky,Drama,This investigation examines the emergence of a specifically modern literary critical discourse in Germany at the turn-of-the-century. The commercialization and industrialization of the press contributed to the reorganization of the public sphere and posed new problems for the critic facing an anonymous and heterogeneous public. The rapid transformation of criticism during this important period is described both in sociological terms and with references to specific texts by figures such as Theodor Fontane Otto Brahm Alfred Kerr Kurt Tucholsky and others. The relationship between subjective discourse and political engagement is explored an antimodernist hostility toward criticism is portrayed and ties to the status of contemporary West German literary criticism are drawn.
People Entertainment Almanac 2000,Drama,Brush up on the greatest movies books music and TV shows ever in the sixth edition of this entertainment almanac. Includes a run-down on 400 of the world's favorite celebrities. 150+ photos.
After the Fires,Drama,A first-ever paperback edition. A rich and highly readable analysis of the literary scene in the German-speaking countries by an outstanding American scholar. A Helen and Kurt Wolff Book.
The Catholic Biblical Quarterly,Drama,Includes various reports of the Association.
New Catholic Encyclopedia: Com-Dyn,Drama,Articles contained in fifteen volumes describe issues relating to and affecting the Catholic Church in areas such as history ethics spirituality and social sciences. Annual supplements update the original volumes and also include new entries.
Essays on Śaṅkaradeva,Drama,Contributed essays on Sankaradeva 1449-1569.
Journal of the National Institute of Social Sciences,Drama,List of members included in vols. 2-4 6 7 9-
Illinois Libraries,Drama,Includes proceedings of the Illinois Library Association.
Asiatic Review,Drama,Beginning in 1895 includes the Proceedings of the East India Association.
The New Freewoman,Drama,An individualist review.
The World Almanac and Book of Facts,Drama,Lists news events population figures and miscellaneous data of an historic economic scientific and social nature.
Index to Religious Periodical Literature,Drama,Vols. for 1975/76-Jan./June 1977 also include abstracts.
Topical Reference Books,Drama,Like the other titles in Bowkers's Buying Guide series it will be extremely useful... Booklist Topical Reference Books selects and recommends today's best specialized reference books. It gives librarians and teachers the help they need to make sound choices in a wide range of subject areas. It provides the titles authors publishers and ordering information for building strong collections of essential works preparing for classes or researching particular subjects. This book offers expert evaluations of over 2000 preferred titles in 50 categores from Advertising and Aging to Women's Studies and Zoology. In each category you'll find: *Headnotes that provide background and suggestions for collection development *Core Titles that identify the most significant books *At-A-Glance charts to help you determine the suitability of particular works.
Dissertation Abstracts,Drama,Abstracts of dissertations and monographs in microform.
Norte e Sul: North and South,Drama,"NORTE E O SUL - North and South é um romance de Elizabeth Gaskell publicado em forma de livro pela primeira vez em 1855 sendo que já havia sido publicado inicialmente na revista literária ""Household Words"" de propriedade de Charles Dickens entre setembro de 1854 e janeiro de 1855 em 22 partes semanais. Conhecido inicialmente por ""Margaret Hale"" teve seu título alterado por pressão de seus editores para ""North and South"" demonstrando melhor o tema geral do livro: o contraste existente entre o modo de vida da Inglaterra industrializada do norte e da Inglaterra rural e inocente do sul em uma época fortemente marcada pela revolução industrial do século 19. Quando publicado como livro em 1855 esta incluiu um prefácio afirmando que por causa das restrições do formato da revista a autora foi incapaz de desenvolver a história como desejava e deste modo ""várias passagens curtas foram inseridas e vários novos capítulos adicionados"". O livro é um romance social que tenta demonstrar a vida e os conflitos existentes no norte industrializado dos meados do século 19 através das impressões de uma jovem nascida nas regiões rurais da Inglaterra. A heroína da história Margaret Hale é filha de um ministro religioso que se muda para a cidade fictícia de Milton cujo modelo era a cidade de Manchester onde Elizabeth Gaskell morou em companhia de seu marido e trabalhou em ações filantrópicas junto aos pobres da cidade e conheceu de perto as misérias das áreas industriais. A mudança no estilo de vida choca Margaret que simpatiza profundamente com a pobreza e as dificuldades vividas pelos trabalhadores urbanos. Após um encontro com um grupo de grevistas no qual Margaret tenta proteger Thornton da violência dos manifestantes os dois se apaixonam entretanto uma série de conflitos e desencontros até o derradeiro reencontro onde cada um dos personagens terá que rever seus preconceitos chegando à madura aceitação de si mesmos e de seus sentimentos."
English Drama: Forms and Development,Drama,Ten original essays on English drama from Tudor times onwards examines different aspects on the development of this art form.
The Process of Drama,Drama,An account of the relationships between the playwright the elements of dramatic art and the other artists - Areas covered include the dramatic context role and relationships drama space language movement and gesture tension and the audience.
Drama in Education,Drama,As schools have become more aware of their role in addressing personal and social issues the importance of ‘values and attitudes’ have begun shaping education and curricula worldwide. Drama in Education explores the six fundamental pillars of the national curriculum guide of Iceland in relation to these changing values and attitudes. Focusing on the importance of human relations this book explores literacy sustainability health and welfare democracy and human rights equality and creativity. It demonstrates the capability of drama as a teaching strategy for effectively working towards these fundamental pillars and reflects on how drama in education can be used to empower children to become healthy creative individuals and active members in a democratic society. Offering research-based examples of using drama successfully in different educational contexts and considering practical challenges within the classroom Drama in Education: Exploring Key Research Concepts and Effective Strategies is an essential guide for any modern drama teacher.
Modern Drama,Drama,The contributors examine varied topics such as the analysis of periodicity; the articulation of social political and cultural production in theatre; the re-evaluation of texts performances and canons; and demonstrations of how interdisciplinarity inflects theatre and its practice.
The Drama,Drama,This Is A New Release Of The Original 1898 Edition.
Polish Romantic Drama,Drama,This is the first volume in English to be devoted entirely to Polish Romantic drama. It contains translations of three major plays: Forefathers; Eve Part III by Adam Mickiewics; The Un-Divine Comedy by Zygmunt Krasinski; and Fantazy by Juliusz Slowacki. In his highly informative introduction Professor Segel discusses the plays against the background of the Romantic movement in Poland and points out their ideological and artistic importance. As products of a revolutionary Poland; they were written and published in Paris by writers who either resettled there after the Insurrection of 1830 or otherwise identified with the Great Emigration; they are permeated with the spirit of Romantic Rebellion with pleas for universial justice and with queries concerning the role of the poet in society. Brillant productions of the plays in Poland in the late nineteenth and early twentieth-centuries gave impetus to an entire tradition of modern Polish theatrical experimentation as well as dramatic writing which extends to the present day.
A Reader's Guide to Modern American Drama,Drama,Sanford Sternlicht presents a comprehensive survey of modern American drama beginning with its antecedents in Victorian melodrama through the present. He discusses the work and achievement of more than seventy playwrights from Eugene O’Neill to Suzan-Lori Parks—from the golden era of Broadway to the rise of Off-Broadway and regional theater. Stern-licht shows how world theater influenced the American stage and how the views of American dramatists reflected the great American social movements of their times. In addition he describes the contributions of early experimental theater the Federal Theater of the 1930s African American feminist and gay and lesbian drama—and the joyous trends and triumphs of American musical theater.
The Art Of Drama Teaching,Drama,This classic edition of Mike Fleming’s The Art of Drama Teaching provides a multitude of practical ideas for teachers of drama and for those who are interested in using drama to teach other subjects. It takes the form of detailed discussion of twenty-five drama techniques including but not limited to: beginnings and endings monologue and narration off-stage action and reported action mime irony time shifts minor characters Each technique topic or convention is illustrated by a carefully chosen extract from a play and accompanied by a commentary and practical examples of lesson tasks. This book not only demonstrates drama as an art form and provides ready-to-use material for drama teachers but highlights how dramatic techniques can be used to inform classroom teaching and develop teacher practice. Featuring a brand new preface by the author to contextualise the book within the field today this Routledge Classic Edition is an indispensable resource for drama teachers in both primary and secondary schools.
Theorising Performance,Drama,Constitutes the first analysis of the modern performance of ancient Greek drama from a theoretical perspective.
The Drama of the Double,Drama,This book explores the way in which doubling takes place in several novels films and dramas primarily focusing on modern drama and exploring how five Greek myths – Oedipus Narcissus Dionysus Orestes and Demeter – inform the literature. Taking a psychological/mythical approach this book explores the inner divisions that lead to boundary loss and the search for the self that may lead to boundaries found. The contention of the book is that the oedipal search for self has been replaced in modern literature by individuals caught up in a narcissistic culture. Katherine H. Burkman explores plays by Aeschylus Sophocles Euripides Henrik Ibsen Eugene O'Neill Samuel Beckett Harold Pinter David Mamet Sam Shepard Marsha Norman and Will Eno.
The Ambivalences of Medieval Religious Drama,Drama,What is medieval religious drama and what function does it serve in negotiating between the domains of theology and popular life? This book aims to answer these questions by studying three sets of these dramas from Germany France England and Spain: 10th-century Easter plays 12th-century Adam plays and 15th- and 16th-century Passion plays.
Drama and Education,Drama,Drama and Education provides a practical comprehensive guide to drama as a tool for teaching and learning. It is among the first practical drama and performance textbooks that address brain-based neuroscientific research making the argument that creativity is necessary in our lives that embodied learning is natural and essential and that contextual learning helps us find our place in society in relationship to other peoples and cultures. As well as a historical and theoretical overview of the field it provides rationale and techniques for several specific methodologies:linear drama process-oriented drama drama for social justice and performance art. Each approach is supplemented with sample lesson plans activities ideas for differentiation and extensive bibliographies. The topics are discussed from five key angles: * Historical and theoretical foundations * Curricular applications * Practical toolkits for a range of classrooms and learning environments * Different strategies for lesson plans * Extension options for longer workshops. Alongside these core methods the integration of other innovative forms--from performance art to Theatre of the Oppressed--into drama-based learning is explored as well as the pragmatic concerns such as assessment planning and advocacy for arts learning and arts education partnerships. Drama and Education is the comprehensive textbook for teachers and students on Applied Theatre and Theatre and Education courses.
Beginning Drama 11-14,Drama,Explores the roles skills and knowledge needed to become an effective drama teacher.
The Foundations of a National Drama,Drama,Essays examining the development of an intellectual drama in England and how to make English theatre an object of national pride and esteem.
Constructing the Canon of Early Modern Drama,Drama,Through short provocative readings of unfamiliar plays this book provides the first ever history of the canon of Renaissance drama.
Theo-Drama: Theological Dramatic Theory Vol. 2,Drama,The first volume of this series surveyed the great world dramatists to gather concepts and ideas to apply to the real stage which is the universe God has made and centered into himself as an actor. This volume describes the actors the dramatis personae. This is his theological anthropology concerning man his freedom and destiny in the light of biblical revelation. Von Balthasar is concerned here with the dramatic character of existence as a whole approaching the topic through a consideration of the various conditions and situations of mankind as a drama that involves both the Creator and his creatures.
Persona and Performance,Drama,This book by one of the world's leading dramatherapists demonstrates how the concept of role connects the areas of dramatherapy theatre and everyday life and provides a detailed model for a role-based form of therapy.
A Brief View of the English Drama - Scholar's Choice Edition,Drama,This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact and remains as true to the original work as possible. Therefore you will see the original copyright references library stamps (as most of these works have been housed in our most important libraries around the world) and other notations in the work. This work is in the public domain in the United States of America and possibly other nations. Within the United States you may freely copy and distribute this work as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact this work may contain missing or blurred pages poor pictures errant marks etc. Scholars believe and we concur that this work is important enough to be preserved reproduced and made generally available to the public. We appreciate your support of the preservation process and thank you for being an important part of keeping this knowledge alive and relevant.
Modern Verse Drama,Drama,First published in 1977 this book provides a clear and well-illustrated analysis of modern verse drama. It studies the work of its chief exponents T. S. Eliot and Christopher Fry as well as the genre’s place in the development of modern theatre. It particular focuses on the effect that verse drama has had on an audience’s awareness of language in the theatre paving the way for dramatists like Pinter Beckett and Wesker. This book will be of particular interest to those studying modern poetry and drama.
EUROPEAN THEORIES OF THE DRAMA,Drama,This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact and remains as true to the original work as possible. Therefore you will see the original copyright references library stamps (as most of these works have been housed in our most important libraries around the world) and other notations in the work. This work is in the public domain in the United States of America and possibly other nations. Within the United States you may freely copy and distribute this work as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact this work may contain missing or blurred pages poor pictures errant marks etc. Scholars believe and we concur that this work is important enough to be preserved reproduced and made generally available to the public. We appreciate your support of the preservation process and thank you for being an important part of keeping this knowledge alive and relevant.
Modern American Drama: Playwriting in the 1940s,Drama,The Decades of Modern American Drama series provides a comprehensive survey and study of the theatre produced in each decade from the 1930s to 2009 in eight volumes. Each volume equips readers with a detailed understanding of the context from which work emerged: an introduction considers life in the decade with a focus on domestic life and conditions social changes culture media technology industry and political events; while a chapter on the theatre of the decade offers a wide-ranging and thorough survey of theatres companies dramatists new movements and developments in response to the economic and political conditions of the day. The work of the four most prominent playwrights from the decade receives in-depth analysis and re-evaluation by a team of experts together with commentary on their subsequent work and legacy. A final section brings together original documents such as interviews with the playwrights and with directors drafts of play scenes and other previously unpublished material. The major playwrights and their works to receive in-depth coverage in this volume include: * Eugene O'Neill: The Iceman Cometh (1946) A Moon for the Misbegotten (1947) Long Day's Journey Into Night (written 1941 produced 1956) and A Touch of the Poet (written 1942 produced 1958); * Tennessee Williams: The Glass Menagerie (1944) A Streetcar Named Desire (1947) Summer and Smoke (1948); * Arthur Miller: All My Sons (1947) Death of a Salesman (1949) and The Crucible (1953); * Thornton Wilder: Our Town (1938) The Skin of Our Teeth (1942) Shadow of a Doubt (1943) and The Alcestiad (written 1940s).
Modern British Drama on Screen,Drama,This collection of essays offers the first comprehensive treatment of British and American films adapted from modern British plays. Offering insights into the mutually profitable relationship between the newest performance medium and the most ancient. With each chapter written by an expert in the field Modern British Drama on Screen focuses on key playwrights of the period including George Bernard Shaw Somerset Maugham Terence Rattigan Noel Coward and John Osborne and the most significant British drama of the past century from Pygmalion to The Madness of George III. Most chapters are devoted to single plays and the transformations they underwent in the move from stage to screen. Ideally suited for classroom use this book offers a semester's worth of introductory material for the study of theater and film in modern Britain widely acknowledged as a world center of dramatic productions for both the stage and screen.
Theatre on Trial,Drama,This book first published in 1993 is the first full-length analysis of Samuel Beckett’s later drama in the context of contemporary critical and performance theory. It employs a close textual examination of the later plays as a springboard for exploring ideas around authority gender and the ideology of performance. Recent work in the world of critical theory has suggested new ways of looking at performance practice. McMullan argues that while contemporary theory can deepen our understanding of Beckett’s dramatic practice his drama places performance in the context of a metaphysical history and a metatheatrical tradition thereby confronting and provoking some of the central debates in performance studies’ engagement with critical theory.
The Grotesque in Contemporary Anglophone Drama,Drama,Grotesque features have been among the chief characteristics of drama in English since the 1990s. This new book examines the varieties of the grotesque in the work of some of the most original playwrights of the last three decades (including Enda Walsh Philip Ridley Tim Crouch and Suzan-Lori Parks) focusing in particular on ethical and political issues that arise from the use of the grotesque.
Third Voice,Drama,"In this stimulating survey of the entire field of modern English verse drama William Butler Yeats and T.S. Eliot are regarded as the key figures. Shorter studies are included of Christopher Fry E.E. Cummings W.H. Auden Archibald MacLeish Ezra Pound Wallace Stevens and Richard Eberhart. Differing from some contemporary critics Mr. Donoghue believes that verse drama is a major creative art-form of our literature with a vigorous present and promise of a vital future. In a persuasive and perceptive exposition of this belief he considers such questions as the nature of dramatic verse the mood play the relation between dramatic verse and the behavior of speech the necessity of distinguishing between ""verse drama"" and “poetic drama” or “theatre poetry.” Originally published in 1963. The Princeton Legacy Library uses the latest print-on-demand technology to again make available previously out-of-print books from the distinguished backlist of Princeton University Press. These editions preserve the original texts of these important books while presenting them in durable paperback and hardcover editions. The goal of the Princeton Legacy Library is to vastly increase access to the rich scholarly heritage found in the thousands of books published by Princeton University Press since its founding in 1905."
Reading the Right Text,Drama,Reading the Right Text introduces six new plays from contemporary China five of which are translated here into English for the first time. Chosen from a wide variety of well-received dramas of the period each play represents the traditions and changes in a particular subgenre: regional theater proletarian theater women's theater history plays and experimental theater. Xiaomei Chen's wide-ranging and perceptive introduction locates the plays in the political and cultural history of modern China to demonstrate the interrelationship between theater history society and everyday experience. She highlights the origin and development of the different sub-genres and outlines critical approaches from numerous fields including gender studies performance studies subaltern studies and comparative cultural studies. Quite apart from their importance as theater these plays are crucial for a fully rounded understanding of the cultural dynamics involved in the transition from Maoist to post-Mao China from socialist realist drama to the post-socialist response to a market economy and a society in flux.
The Drama of Social Life,Drama,These essays explore the many ways theater and dramaturgy are used to shape the everyday experience of people in mass societies. Young argues that technologies combine with the world of art music and cinema to shape consciousness as a commodity and to fragment social relations in the market as well as in religion and politics. He sees the central problem of post-modern society as how to live in a world constructed by human beings without nihilism on the one hand or repressive dogmatism on the other. Young argues that in advanced monopoly capitalism dramaturgy has replaced coercion as the management tool of choice for the control of consumers workers voters and state functionaries. Young calls this process the “colonization of desire.” Desire is colonized by the use of dramaturgy mass media and the various forms of art in order to generate consumers vesting desire in ownership and display rather than in interpersonal relationships with profound consequence for marriage kinship friendship and community. While Young focuses his critique on capitalist societies undergoing great changes he insists that the same developments are to be found in bureaucratically organized socialist societies. The Drama of Social Life is of interest to those who study theories of moral development cultural studies the uses of leisure politics or simply the uses of “make believe.” It is intended for the informed lay public as much as for social psychologists.
Directing Drama,Drama,"""Clear and concise advice on staging a theatrical production. After a review of past theories The author examines facets of the job dealing with script casting performers rehearsals The audiences' expectations And The theatre's suitability for"
The English Drama in the Age of Shakespeare,Drama,Excerpt from The English Drama in the Age of Shakespeare About the Publisher Forgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.com This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work preserving the original format whilst repairing imperfections present in the aged copy. In rare cases an imperfection in the original such as a blemish or missing page may be replicated in our edition. We do however repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.
Next Week--East Lynne,Drama,Examines plot character setting and spectacle viewing the plays in performance. Discusses the importance of costume makeup gesture and audience participation and relates the subject matter of the plays to contemporary society especially as it reflected England's change from a semi-feudal to an increasingly democratic society. Illustrated.
The Philosophy of Theatre Drama and Acting,Drama,A collection of new essays on the philosophy of theatre and the philosophy of drama combining historical perspectives and new directions.
European Theories of the Drama an Anthology of Dramatic Theory and Criticism from Aristotle to the Present Day and a Series of Selected Texts; With,Drama,This is a reproduction of a book published before 1923. This book may have occasional imperfections such as missing or blurred pages poor pictures errant marks etc. that were either part of the original artifact or were introduced by the scanning process. We believe this work is culturally important and despite the imperfections have elected to bring it back into print as part of our continuing commitment to the preservation of printed works worldwide. We appreciate your understanding of the imperfections in the preservation process and hope you enjoy this valuable book.
Creative Drama for the Classroom Teacher,Drama,Grade level: 1 2 3 4 5 6 7 p e i t.
Modern American Drama on Screen,Drama,Focusing on key texts leading scholars explore how Hollywood has given an enduring life to the classics of Broadway theater.
Diary of A Drama Queen,Drama,The Diary of a Drama Queen is the new soap-opera- starring people you actually know! There's the airing out all their dirty little secrets! Between Maddy Ware trying to ruin Cindy Rossini forever the secret that Cindy reveals about Maddy and the love affair between student/teacher it's a drama-filled life in this small town. Oh and there's something about how one mystery man who can change Cindy's life forever! The Diary of a Drama Queen is edgy and controversial Napoleon once said that secrets travel fast in Paris. But at the Hans Christian Academy they travel a lot faster.
Drama for Students,Drama,"Give students the tools they need to make books and authors a meaningful part of their lives by introducing them to one of our ""For Students"" literary references. These resources are specially crafted to meet the curricular needs of high school and undergraduate college students and their teachers as well as the interests of general readers and researchers."
The Secret Drama of Shakespeare's Sonnets,Drama,"This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work is in the ""public domain in the United States of America and possibly other nations. Within the United States you may freely copy and distribute this work as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe and we concur that this work is important enough to be preserved reproduced and made generally available to the public. We appreciate your support of the preservation process and thank you for being an important part of keeping this knowledge alive and relevant."
School Improvement Through Drama,Drama,Patrice Baldwin gives an overview of the way drama links to learning teaching and the curriculum. It will help those who need to connect with the rationale for drama in and across the curriculum and who need to plan for it and explain it to others in terms of its necessity and impact. The book offers guidance that will facilitate schools' work on self-evaluation preparing for Ofsted drawing up school development plans and drama policies. With exemplar lessons for each of the year groups across KS1-KS3 this is a highly practical book that has something to offer all who work in or with primary and secondary schools.
Theatrocracy,Drama,"Theatrocracy is a book about the power of the theatre how it can affect the people who experience it and the societies within which it is embedded. It takes as its model the earliest theatrical form we possess complete plays from the classical Greek theatre of the fifth century BCE and offers a new approach to understanding how ancient drama operated in performance and became such an influential social cultural and political force inspiring and being influenced by revolutionary developments in political engagement and citizen discourse. Key performative elements of Greek theatre are analyzed from the perspective of the cognitive sciences as embodied live enacted events with new approaches to narrative space masks movement music words emotions and empathy. This groundbreaking study combines research from the fields of the affective sciences – the study of human emotions – including cognitive theory neuroscience psychology artificial intelligence psychiatry and cognitive archaeology with classical theatre and performance studies. This book revisits what Plato found so unsettling about drama – its ability to produce a theatrocracy a ""government"" of spectators – and argues that this was not a negative but an essential element of Athenian theatre. It shows that Athenian drama provided a place of alterity where audiences were exposed to different viewpoints and radical perspectives. This perspective was and is vital in a freethinking democratic society where people are expected to vote on matters of state. In order to achieve this goal the theatre offered a dissociative and absorbing experience that enhanced emotionality deepened understanding and promoted empathy. There was and still is an urgent imperative for theatre."
Restoration Drama,Drama,This new anthology provides seventeen key plays by twelve dramatists of the Restoration period in an anthology designed specifically for course use with annotations and judiciously modernized texts. It offers a representative sampling of the types of play of the period including plays by both men and women - sex comedy moral comedy heroic drama Shakespearean adaptation and political history.
Twenty-First Century Drama,Drama,Within this landmark collection original voices from the field of drama provide rich analysis of a selection of the most exciting and remarkable plays and productions of the twenty-first century. But what makes the drama of the new millenium so distinctive? Which events themes shifts and paradigms are marking its stages? Kaleidoscopic in scope Twenty-First Century Drama: What Happens Now creates a broad rigorously critical framework for approaching the drama of this period including its forms playwrights companies institutions collaborative projects and directors. The collection has a deliberately British bent examining established playwrights – such as Churchill Brenton and Hare – alongside a new generation of writers – including Stephens Prebble Kirkwood Bartlett and Kelly. Simultaneously international in scope it engages with significant new work from the US Japan India Australia and the Netherlands to reflect a twenty-first century context that is fundamentally globalized. The volume’s central themes – the financial crisis austerity climate change new forms of human being migration class race and gender cultural politics and issues of nationhood – are mediated through fresh cutting-edge perspectives.
Tragedy's End,Drama,Euripides is a notoriously problematic and controversial playwright whose innovations according to Nietzsche brought Greek tragedy to an early death. Dunn here argues that the infamous and artificial endings in Euripides deny the viewer access to a stable or authoritative reading of the play while innovations in plot and ending opened tragedy up to a medley of comic parodic and narrative impulses. Part One explores the dramatic and metadramatic uses of novel closing gestures such as aetiology closing prophecy exit lines of the chorus and deus ex machina. Part Two shows how experimentation in plot and ending reinforce one another in Hippolytus Trojan Women and Heracles. Part Three argues that in three late plays Helen Orestes and Phoenician Women Euripides devises radically new and untragic ways of representing and understanding human experience. Tragedy's End is the first comprehensive study of closure in classical literature and will be of interest to a range of students and scholars.
The Lamp and the Bell,Drama,Based on the fairy tale Snow White and Rose Red the play's theme is friendship crossed by love.
The Morality Motive in Contemporary English Drama,Drama,This work has been selected by scholars as being culturally important and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact and remains as true to the original work as possible. Therefore you will see the original copyright references library stamps (as most of these works have been housed in our most important libraries around the world) and other notations in the work.This work is in the public domain in the United States of America and possibly other nations. Within the United States you may freely copy and distribute this work as no entity (individual or corporate) has a copyright on the body of the work.As a reproduction of a historical artifact this work may contain missing or blurred pages poor pictures errant marks etc. Scholars believe and we concur that this work is important enough to be preserved reproduced and made generally available to the public. We appreciate your support of the preservation process and thank you for being an important part of keeping this knowledge alive and relevant.
